maxDepth,minNode,numTrees,dataFraction,featureSubcount,accuracy,train_time_s,predict_time_s
10,4,50,0.6,sqrt,0.984609465178915,1.0297913551330566,0.14253807067871094
10,4,50,0.6,half,0.9826856483262794,2.121612787246704,0.14901256561279297
10,4,50,0.7,sqrt,0.9855713736052328,1.1086292266845703,0.14478278160095215
10,4,50,0.7,half,0.9863409003462871,2.1656529903411865,0.1427600383758545
10,4,100,0.6,sqrt,0.9857637552904963,2.100489854812622,0.28905177116394043
10,4,100,0.6,half,0.9830704116968064,4.1779375076293945,0.28482866287231445
10,4,100,0.7,sqrt,0.9867256637168141,2.3811657428741455,0.31319284439086914
10,4,100,0.7,half,0.9857637552904963,4.611865043640137,0.2915198802947998
10,8,50,0.6,sqrt,0.9821085032704886,1.0925588607788086,0.15572834014892578
10,8,50,0.6,half,0.98326279338207,1.9986035823822021,0.1504526138305664
10,8,50,0.7,sqrt,0.9873028087726049,1.290442705154419,0.14450693130493164
10,8,50,0.7,half,0.981531358214698,2.323622226715088,0.15001487731933594
10,8,100,0.6,sqrt,0.9836475567525972,2.145277500152588,0.2891836166381836
10,8,100,0.6,half,0.9834551750673336,3.979093551635742,0.3152034282684326
10,8,100,0.7,sqrt,0.987687572143132,2.388124704360962,0.3005220890045166
10,8,100,0.7,half,0.982878030011543,4.668947696685791,0.29923176765441895
14,4,50,0.6,sqrt,0.9878799538283956,1.200411319732666,0.16213393211364746
14,4,50,0.6,half,0.9880723355136591,2.35140061378479,0.16651105880737305
14,4,50,0.7,sqrt,0.9869180454020777,1.4233794212341309,0.15338397026062012
14,4,50,0.7,half,0.9869180454020777,2.5373876094818115,0.16201519966125488
14,4,100,0.6,sqrt,0.9873028087726049,2.315751314163208,0.2930905818939209
14,4,100,0.6,half,0.9882647171989226,4.4958131313323975,0.3020484447479248
14,4,100,0.7,sqrt,0.9873028087726049,2.60705304145813,0.3010859489440918
14,4,100,0.7,half,0.9869180454020777,10.082417488098145,0.2952697277069092
14,8,50,0.6,sqrt,0.9865332820315506,1.1374778747558594,0.15177011489868164
14,8,50,0.6,half,0.9867256637168141,2.189260959625244,0.1506481170654297
14,8,50,0.7,sqrt,0.9867256637168141,1.3244218826293945,0.15301132202148438
14,8,50,0.7,half,0.9863409003462871,2.5007991790771484,0.14962220191955566
14,8,100,0.6,sqrt,0.9878799538283956,2.4430973529815674,0.297288179397583
14,8,100,0.6,half,0.9867256637168141,4.73029351234436,0.32010674476623535
14,8,100,0.7,sqrt,0.9869180454020777,2.874716281890869,0.3382275104522705
14,8,100,0.7,half,0.9880723355136591,5.781280517578125,0.3267538547515869
18,4,50,0.6,sqrt,0.987687572143132,1.2503399848937988,0.16708779335021973
18,4,50,0.6,half,0.9884570988841862,2.4411444664001465,0.1543881893157959
18,4,50,0.7,sqrt,0.9869180454020777,1.4399213790893555,0.16033196449279785
18,4,50,0.7,half,0.9882647171989226,2.669473886489868,0.1534745693206787
18,4,100,0.6,sqrt,0.9874951904578684,2.3486673831939697,0.31602978706359863
18,4,100,0.6,half,0.9884570988841862,5.235461235046387,0.3262901306152344
18,4,100,0.7,sqrt,0.9874951904578684,2.9509389400482178,0.3146653175354004
18,4,100,0.7,half,0.9882647171989226,5.252002954483032,0.30352210998535156
18,8,50,0.6,sqrt,0.987687572143132,1.2285370826721191,0.15521526336669922
18,8,50,0.6,half,0.9842247018083878,2.2633321285247803,0.15272235870361328
18,8,50,0.7,sqrt,0.9859561369757599,1.411078691482544,0.1615140438079834
18,8,50,0.7,half,0.9874951904578684,3.0243020057678223,0.1691138744354248
18,8,100,0.6,sqrt,0.9878799538283956,2.5394182205200195,0.3192565441131592
18,8,100,0.6,half,0.9878799538283956,4.78795862197876,0.3025212287902832
18,8,100,0.7,sqrt,0.9859561369757599,2.7023913860321045,0.3007807731628418
18,8,100,0.7,half,0.9886494805694498,5.382638931274414,0.3143141269683838
